entry_id	meaning_id	arabic	meaning	sort_order	source_volume	source_chapter	source_row
f09d7a42-d4d2-44ff-8333-f7379ed28344	924b7741-587b-40cb-8b96-33ccda3ec57b	ٱللَّهُ	Allah	1			1
af6bf2bc-b489-4684-b055-918e81b906bb	018484ad-07b6-4e57-b5c9-2e47cbca9a41	الشَّيْطَان	Satan	2			2
91840d55-283d-481d-8416-5ff85f0bdc01	8a9fc285-a775-4b28-a691-c92b900e0e0c	هُوَ	he	3			3
5c0ee5a1-3f2b-40ef-b963-b339955559c1	898bbc13-c428-4ca9-acfe-a516a74266f8	هُمْ	they	4			4
dffae382-9f2e-4113-858f-4caf55272158	6e5fd85a-b81c-467e-baf8-514b90d83e4f	أَنتَ	you	5			5
00bf105e-a204-4d04-800b-234e4c711b6a	61e0ebe4-da7a-4145-a3e8-6bda18272839	أَنَا۠	I	6			6
ade1d38a-9c0c-4c6e-93af-1b7c0c2780bf	ec10a15c-0d80-4a68-a828-cbdb711b82a6	أَنتُمْ	you all	7			7
e077c9d2-e9c8-4bf6-a9ce-ea6c4b4fc851	a6247372-8458-432f-9820-15790b1a7b38	نَحْنُ	we	8			8
7f016ece-f4b1-4860-bf54-cdbbebc874d4	ec9fb592-ea23-4014-ad50-c791d4349b3b	مَنْ	who	9			9
b269b292-ced8-488f-9e77-927c0207b024	4e12c3d0-4fcd-4841-8a6b-81f4cb61eac2	هَلْ	Is, Do, Are...?	10			10
1107ea50-a7b1-4551-b613-fd141e81523e	32e4fbcd-e59e-4a4e-87f9-92ca71844d32	خَيْرُ	best	11			11
5146f395-d680-4e54-9872-64318dcbb7e4	fd98414d-5270-4b8b-b003-75d6b338874a	اِسْم	name	12			12
54e2f70e-5cae-46ff-bccf-9e53757ba8d9	8adb4f1f-1110-43de-ad98-560babe9914e	اَلرَّحْمٰن	the most gracious	13			13
1d8a50ba-1be7-4e00-966c-2fdb399cf752	e1de1ad0-bda3-4126-bd18-4aca40fa293b	اَلرَّحِيْم	the most merciful	14			14
66494a48-5f70-45f9-a208-9dd69300e0d6	c0bf5f8d-b2fe-406b-9208-28d5816164c6	اَلْكَرِيْم	generous	15			15
cf8a18e6-e51a-4645-becf-48b7fad611a3	df03de40-3690-4c24-ac4f-b87b27f0efae	ٱلْحَمْدُ	all praises and thanks	16			16
97f11674-aacc-4ece-b94a-75e87af9b1ea	93d52481-4853-4de4-9db2-9de6ebedd587	لِلَّهِ	for Allah / to Allah	17			17
fc7b7e75-19b7-46e6-836c-1ad3259891b4	31054a6e-6db2-46bd-845d-3e29d766b0f8	ٱلْعَٰلَمِينَ	the worlds	18			18
86234caf-2795-476c-91d8-ba320a7d7d78	483d0807-af2c-4e0b-9ee7-c76875051753	مُّسْلِم	muslim	19			19
9ffc9e12-2267-4b82-af71-009bd40abcc5	d78c9b31-3560-49a0-b6d3-70796f4983a2	مُّؤْمِن	believer	20			20
1aef64d9-30d2-403f-b3aa-21cb8b7f6ea9	4e6111f1-2923-47fc-8e6f-cc40773539c0	مُشْرِك	polytheist	21			21
